[2022-12-21 22:11:27,752::train::INFO] Namespace(config='configs/train_ts_dv3_newedge_nolocal.yml', device='cuda', fn='zzin-retrain', logdir='./logs', name='zzin-retrain', pretrain='', project='TS-geom-retrain', resume_iter=None, tag='zzin-retrain')
[2022-12-21 22:11:27,752::train::INFO] {'model': {'type': 'diffusion', 'network': 'dualenc_ver3_newedge_nolocal', 'hidden_dim': 128, 'num_convs': 6, 'num_convs_local': 4, 'cutoff': 6.0, 'mlp_act': 'ReLU', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000, 'edge_order': 3, 'edge_encoder': 'mlp', 'smooth_conv': True, 'TS': True, 'feat_dim': 25, 'edge_cat_act': 'swish', 'dropout': 0.1}, 'train': {'seed': 2022, 'batch_size': 200, 'val_freq': 1000, 'max_iters': 300000, 'max_grad_norm': 3000.0, 'anneal_power': 2.0, 'optimizer': {'type': 'adam', 'lr': 0.001, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.8, 'patience': 10, 'min_lr': 2e-05}}, 'dataset': {'train': 'data/TS/b97d3/random_split2/train_data.pkl', 'val': 'data/TS/b97d3/random_split2/val_data.pkl', 'test': 'data/TS/b97d3/random_split2/test_data.pkl'}}
[2022-12-21 22:11:36,861::train::INFO] Loading datasets...
[2022-12-21 22:11:47,761::train::INFO] Building model...
[2022-12-21 22:13:12,841::train::INFO] [Train] Iter 01000 | Loss 97.52 | Loss(Global) 97.52 | Loss(Local) 0.00 | Grad 657.85 | LR 0.001000
[2022-12-21 22:13:14,238::train::INFO] [Validate] Iter 01000 | Loss 69.256586 | Loss(Global) 69.256586 | Loss(Local) 0.000000
[2022-12-21 22:14:39,011::train::INFO] [Train] Iter 02000 | Loss 65.73 | Loss(Global) 65.73 | Loss(Local) 0.00 | Grad 578.97 | LR 0.001000
[2022-12-21 22:14:40,242::train::INFO] [Validate] Iter 02000 | Loss 60.866578 | Loss(Global) 60.866578 | Loss(Local) 0.000000
[2022-12-21 22:16:03,974::train::INFO] [Train] Iter 03000 | Loss 59.88 | Loss(Global) 59.88 | Loss(Local) 0.00 | Grad 541.99 | LR 0.001000
[2022-12-21 22:16:05,221::train::INFO] [Validate] Iter 03000 | Loss 56.520373 | Loss(Global) 56.520373 | Loss(Local) 0.000000
[2022-12-21 22:17:28,997::train::INFO] [Train] Iter 04000 | Loss 57.52 | Loss(Global) 57.52 | Loss(Local) 0.00 | Grad 547.71 | LR 0.001000
[2022-12-21 22:17:30,234::train::INFO] [Validate] Iter 04000 | Loss 56.002508 | Loss(Global) 56.002508 | Loss(Local) 0.000000
[2022-12-21 22:18:54,157::train::INFO] [Train] Iter 05000 | Loss 55.20 | Loss(Global) 55.20 | Loss(Local) 0.00 | Grad 518.47 | LR 0.001000
[2022-12-21 22:18:55,379::train::INFO] [Validate] Iter 05000 | Loss 54.401817 | Loss(Global) 54.401817 | Loss(Local) 0.000000
[2022-12-21 22:20:19,439::train::INFO] [Train] Iter 06000 | Loss 56.00 | Loss(Global) 56.00 | Loss(Local) 0.00 | Grad 521.69 | LR 0.001000
[2022-12-21 22:20:20,760::train::INFO] [Validate] Iter 06000 | Loss 50.641528 | Loss(Global) 50.641528 | Loss(Local) 0.000000
[2022-12-21 22:21:46,406::train::INFO] [Train] Iter 07000 | Loss 52.51 | Loss(Global) 52.51 | Loss(Local) 0.00 | Grad 477.12 | LR 0.001000
[2022-12-21 22:21:47,667::train::INFO] [Validate] Iter 07000 | Loss 52.781067 | Loss(Global) 52.781067 | Loss(Local) 0.000000
[2022-12-21 22:23:11,701::train::INFO] [Train] Iter 08000 | Loss 51.19 | Loss(Global) 51.19 | Loss(Local) 0.00 | Grad 454.47 | LR 0.001000
