[2022-11-01 04:40:01,020::train::INFO] Namespace(config='configs/exp7/ts_dv3_newedge_nolocal.yml', device='cuda', fn='_', logdir='./logs', name='dv3_newedge_nolocal', pretrain='', project='TS-geom-exp7', resume_iter=None, tag='dv3_newedge_nolocal')
[2022-11-01 04:40:01,020::train::INFO] {'model': {'type': 'diffusion', 'network': 'dualenc_ver3_newedge_nolocal', 'hidden_dim': 128, 'num_convs': 6, 'num_convs_local': 4, 'cutoff': 6.0, 'mlp_act': 'ReLU', 'beta_schedule': 'sigmoid', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000, 'edge_order': 3, 'edge_encoder': 'mlp', 'smooth_conv': True, 'TS': True, 'feat_dim': 25, 'edge_cat_act': 'swish', 'dropout': 0.1}, 'train': {'seed': 2022, 'batch_size': 200, 'val_freq': 1000, 'max_iters': 300000, 'max_grad_norm': 3000.0, 'anneal_power': 2.0, 'optimizer': {'type': 'adam', 'lr': 0.001, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.8, 'patience': 10, 'min_lr': 2e-05}}, 'dataset': {'train': 'data/TS/b97d3/train_data.pkl', 'val': 'data/TS/b97d3/val_data.pkl', 'test': 'data/TS/b97d3/test_data.pkl'}}
[2022-11-01 04:40:07,372::train::INFO] Loading datasets...
[2022-11-01 04:40:18,844::train::INFO] Building model...
[2022-11-01 04:41:47,159::train::INFO] [Train] Iter 01000 | Loss 95.63 | Loss(Global) 95.63 | Loss(Local) 0.00 | Grad 721.82 | LR 0.001000
[2022-11-01 04:41:48,429::train::INFO] [Validate] Iter 01000 | Loss 72.177259 | Loss(Global) 72.177259 | Loss(Local) 0.000000
[2022-11-01 04:43:14,369::train::INFO] [Train] Iter 02000 | Loss 64.89 | Loss(Global) 64.89 | Loss(Local) 0.00 | Grad 626.42 | LR 0.001000
[2022-11-01 04:43:15,616::train::INFO] [Validate] Iter 02000 | Loss 64.756480 | Loss(Global) 64.756480 | Loss(Local) 0.000000
[2022-11-01 04:44:40,757::train::INFO] [Train] Iter 03000 | Loss 60.87 | Loss(Global) 60.87 | Loss(Local) 0.00 | Grad 611.57 | LR 0.001000
[2022-11-01 04:44:41,993::train::INFO] [Validate] Iter 03000 | Loss 59.331207 | Loss(Global) 59.331207 | Loss(Local) 0.000000
[2022-11-01 04:46:07,504::train::INFO] [Train] Iter 04000 | Loss 57.42 | Loss(Global) 57.42 | Loss(Local) 0.00 | Grad 563.49 | LR 0.001000
[2022-11-01 04:46:08,743::train::INFO] [Validate] Iter 04000 | Loss 57.651414 | Loss(Global) 57.651414 | Loss(Local) 0.000000
[2022-11-01 04:47:36,393::train::INFO] [Train] Iter 05000 | Loss 54.94 | Loss(Global) 54.94 | Loss(Local) 0.00 | Grad 513.12 | LR 0.001000
